model,pr_auc,roc_auc,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives
Logistic Regression,0.9031499848005563,0.9908493521575232,0.5194174757281553,0.9312445604873804,0.6668744157058274,1070,990,79,21856
Random Forest,0.8914711673334693,0.987984691383873,0.9663341645885287,0.6744995648389904,0.7944643772424398,775,27,374,22819
XGBoost,0.886042373053958,0.9890856605475935,0.7967959527824621,0.8224543080939948,0.8094218415417559,945,241,204,22605
Isolation Forest (unsupervised),0.5634406290556514,0.9019670207154621,0.21143768512189565,0.8076588337684943,0.3351390393643915,928,3461,221,19385
Rule-Based Engine,0.3243429289693358,0.6975376317321099,0.8810408921933085,0.206266318537859,0.3342736248236953,237,32,912,22814
Local Outlier Factor (unsupervised),0.06693934405151733,0.5471180744999611,0.058247142079477406,0.37249782419495214,0.10074143815464282,428,6920,721,15926
